Individual Id	Archaeological ID	Capture ID	Country	Site	Latitude	Longitude	Culture/Period	Radiocarbon Dating	Approximate Chronology	C14 Uncalibrated	C14 Uncalibrated Variation	C14 Calibrated From	C14 Calibrated To	C14 Id	C14 Dated?	Plot From	Plot To	Plot Mid	Region
PIE034	P08 B 108	PIE034.B0101.SM1	Romania	Pietrele	44.0681	26.1562	Chalcolithic period	"5741 ± 22 (MAMS-47819), 4681-4502 calBCE"	-	5741	22	-4681	-4502	MAMS-47819	Yes	-4681	-4502	-4591.5	Balkans
DON004	Donkalnis6	DON004.A0101.SM1	Lithuania	Donkalnis	55.8078	22.4222	"Mesolithic, Narva culture"	"5770 ± 40 (Poz-61574), 4718-4503 calBCE"	-	5770	40	-4718	-4503	Poz-61574	Yes	-4718	-4503	-4610.5	Baltic
I2007	HAL05a	XXX001.A161358.SM1	Germany	Halberstadt	51.8939	11.0523	"Early Neolithic, LBK"	"6136 ± 34 (MAMS-21479), 5211-4957 calBCE"	-	6136	34	-5211	-4957	MAMS-21479	Yes	-5211	-4957	-5084	Central Europe
I2037	HAL39b	XXX001.A161183.SM1	Germany	Halberstadt	51.8939	11.0523	"Early Neolithic, LBK"	"6144 ± 32 (KIA-40343), 5210-4998 calBCE"	-	6144	32	-5210	-4998	KIA-40343	Yes	-5210	-4998	-5104	Central Europe
I2013	HAL14	XXX001.A161364.SM1	Germany	Halberstadt	51.8939	11.0523	"Early Neolithic, LBK"	"6156 ± 35 (MAMS-21480), 5211-5002 calBCE"	-	6156	35	-5211	-5002	MAMS-21480	Yes	-5211	-5002	-5106.5	Central Europe
REV004	CHA66	REV004.A0102.SM1	Peru	Revash	-6.3666	-78.0012	"Late Intermediate Period, Chachapoya culture"	"627 ± 16 (MAMS-35098), 1320-1407 calCE"	-	627	16	1320	1407	MAMS-35098	Yes	1320	1407	1363.5	Americas
I0409	Troc1	XXX001.A16575.SM1	Spain	Els Trocs Cave	42.4964	0.507	"Early Neolithic, Epicardial"	"6280 ± 25 (MAMS-16159), 5312-5212 calBCE"	-	6280	25	-5312	-5212	MAMS-16159	Yes	-5312	-5212	-5262	Iberia
BOT005	HK39:147b BII/2	BOT005.A0101.SM1	Germany	Bottendorf	51.3053	11.4036	Mesolithic	"6685 ± 38 (OxA-27248), 5701-5486 calBCE"	-	6685	38	-5701	-5486	OxA-27248	Yes	-5701	-5486	-5593.5	Central Europe
I0174	BAM25a	XXX001.A16566.SM1	Hungary	"Alsónyék-Bátaszék, Mérnöki telep"	46.2086	18.7	"Early Neolithic, Starčevo"	"6695 ± 40 (MAMS-11939), 5712-5531 calBCE"	-	6695	40	-5712	-5531	MAMS-11939	Yes	-5712	-5531	-5621.5	Central Europe
CCA002	42	CCA002.B0201.SM1	Portugal	Concheiro do Cabeço da Arruda	39.102	-8.7099	Mesolithic	"6960 ± 70 (TO-359), 5986-5721 calBCE"	-	6960	70	-5986	-5721	TO-359	Yes	-5986	-5721	-5853.5	Iberia
KGH2-B		KGH2-B	Ireland													-2280	-2140	-2210	Northern Europe
